table;kohdeluokka;count;styles;todo
aidansymboli;9325;3;;
paikannimi;12101;23;;
tienroteksti;12106;30;;
tieviiva;12111;7040;;
tieviiva;12112;20896;;
tieviiva;12121;73579;;
tieviiva;12122;181023;;
tieviiva;12131;477022;;
tieviiva;12132;233078;;
tieviiva;12141;1433076;;
tieviiva;12151;439;;
tieviiva;12152;73;;
tienroteksti;12181;10631;;
tienroteksti;12182;7714;;
tienroteksti;12183;2856;;
tiesymboli;12192;91;;
tiesymboli;12193;61;;
tiesymboli;12200;45321;;
paikannimi;12301;1200;;
selite;12302;1940;;
tieviiva;12311;1;;
tieviiva;12312;68307;;
tieviiva;12313;338055;;
tieviiva;12314;226845;;
tieviiva;12316;640174;;
rautatie;14111;10941;;
rautatie;14112;7046;;
rautatie;14121;78;;
rautatie;14131;294;;
rautatiensymboli;14191;2814;;
rautatiensymboli;14192;150;;
rautatieliikennepaikka;14200;547;;
paikannimi;14201;511;;
paikannimi;16101;49;;
selite;16102;133;;
turvalaite;16120;171;;
turvalaite;16121;2433;;
turvalaite;16122;41;;
turvalaite;16124;6;;
turvalaite;16125;8;;
turvalaite;16126;51;;
turvalaite;16127;3;;
turvalaite;16141;844;;
turvalaite;16142;883;;
turvalaite;16143;205;;
turvalaite;16144;209;;
turvalaite;16145;259;;
turvalaite;16146;250;;
turvalaite;16147;5;;
turvalaite;16148;89;;
turvalaite;16149;6;;
turvalaite;16151;2;;
turvalaite;16152;6;;
turvalaite;16156;1;;
turvalaite;16161;5;;
turvalaite;16162;5;;
turvalaite;16169;1;;
turvalaite;16191;3;;
turvalaite;16211;1;;
turvalaite;16214;1;;
vesikulkuvaylanteksti;16503;3144;;
vesikulkuvaylanteksti;16504;2647;;
vesikulkuvaylankulkusuunta;16505;451;;
vesikulkuvaylankulkusuunta;16506;17;;
vesikulkuvaylankulkusuunta;16507;6;;
vesikulkuvaylanteksti;16508;378;;
vesikulkuvayla;16511;7602;;
vesikulkuvayla;16512;2822;;
vesikulkuvayla;16521;35;;
vesikulkuvayla;16522;103;;
ankkuripaikka;16600;207;;
hylynsyvyys;16703;14;;
hylky;16712;32;;
hylky;16721;28;;
hylky;16722;17;;
muuntaja;22100;79775;;
muuntoasema;22200;3830;;
sahkolinja;22311;48418;;
sahkolinja;22312;128004;;
suurjannitelinjanpylvas;22392;86797;;
sahkolinjansymboli;22394;18832;;
sahkolinjansymboli;22395;100176;;
maastokuvionreuna;30100;11436;;
maasto2kuvionreuna;30211;159465;;
maastokuvionreuna;30211;8923630;;
maasto2kuvionreuna;30212;346779;;
maastokuvionreuna;30212;1043465;;
pato;30300;1825;;
sulkuportti;30400;138;;
maastokuvionreuna;30900;14147;;
maasto2kuvionreuna;30999;2608;;
maastokuvionreuna;30999;41892;;
suojelualueenreunaviiva;30999;174;;
paikannimi;32101;10;;
selite;32102;1945;;
maaaineksenottoalue;32111;13419;;
maaaineksenottoalue;32112;226;;
maaaineksenottoalue;32113;2728;;
karttasymboli;32191;12573;;
karttasymboli;32192;34;;
hautausmaa;32200;1367;;
paikannimi;32201;24;;
selite;32202;73;;
karttasymboli;32291;2000;;
kaatopaikka;32300;86;;
paikannimi;32301;6;;
selite;32302;84;;
paikannimi;32401;197;;
selite;32402;170;;
lentokenttaalue;32411;88;;
lentokenttaalue;32412;24;;
lentokenttaalue;32415;33;;
lentokenttaalue;32416;415;;
lentokenttaalue;32417;213;;
lentokenttaalue;32418;34;;
autoliikennealue;32421;13397;;
louhos;32500;1468;;
paikannimi;32501;19;;
selite;32502;123;;
karttasymboli;32591;1539;;
selite;32602;35;;
maatalousmaa;32611;427588;;
maatalousmaa;32612;3685;;
metsamaankasvillisuus;32710;1581236;;
metsamaankasvillisuus;32713;265425;;
metsamaankasvillisuus;32714;155922;;
metsamaankasvillisuus;32715;68286;;
metsamaankasvillisuus;32719;4182;;
metsamaanmuokkaus;32721;1000;;
niitty;32800;71593;;
karttasymboli;32891;77723;;
puisto;32900;3527;;
paikannimi;32901;14;;
selite;32902;21;;
taytemaa;33000;1565;;
paikannimi;33001;2;;
selite;33002;25;;
karttasymboli;33091;1627;;
urheilujavirkistysalue;33100;14369;;
paikannimi;33101;70;;
selite;33102;7172;;
kallioalue;34100;1345129;;
kalliosymboli;34100;1530523;;
harvalouhikko;34200;1576916;;
hietikko;34300;14001;;
jyrkanne;34400;206624;;
kalliohalkeama;34500;31;;
kivi;34600;496949;;
paikannimi;34601;1346;;
kivikko;34700;168459;;
luiska;34800;89750;;
merkittavaluontokohde;34900;156;;
paikannimi;34901;33;;
selite;34902;483;;
paikannimi;35010;34673;;
paikannimi;35020;67055;;
paikannimi;35030;68947;;
paikannimi;35040;97288;;
paikannimi;35050;3520;;
paikannimi;35060;39220;;
paikannimi;35070;57320;;
paikannimi;35080;1836;;
paikannimi;35090;12372;;
puu;35100;1836;;
paikannimi;35101;49;;
selite;35102;16;;
puurivi;35200;3670;;
soistuma;35300;643218;;
suo;35411;281341;;
suo;35412;991156;;
suo;35421;94572;;
suo;35422;3424;;
suojanne;35500;3986;;
lahde;36100;34406;;
paikannimi;36101;319;;
jarvi;36200;157233;;
paikannimi;36201;64125;;
meri;36211;1154;;
vedenpinnankorkeusluku;36291;117522;;
paikannimi;36301;33728;;
virtavesikapea;36311;16354857;;
virtavesikapea;36312;619326;;
virtavesialue;36313;20197;;
virtausnuoli;36391;3;;
virtausnuoli;36392;181503;;
virtausnuoli;36393;13832;;
vesikuoppa;36400;124560;;
paikannimi;36410;45541;;
paikannimi;36420;6231;;
paikannimi;36490;134;;
selite;36500;640;;
kaislikko;38100;87459;;
koski;38200;15423;;
paikannimi;38201;4044;;
maatuvavesialue;38300;12295;;
tulvaalue;38400;3001;;
paikannimi;38501;905;;
vesikivi;38511;140493;;
vesikivi;38512;136415;;
vesikivi;38513;263698;;
vesikivikko;38600;32547;;
matalikko;38700;19996;;
uittolaite;38800;2321;;
varastoalue;38900;7426;;
paikannimi;38901;3;;
selite;38902;34;;
karttasymboli;38991;7609;;
uittoranni;39000;36;;
muuavoinalue;39110;182261;;
muuavoinalue;39120;10588;;
muuavoinalue;39130;4051;;
metsanraja;39500;258;;
selite;39502;123;;
taajaanrakennetunalueenreuna;40100;5700;;
taajaanrakennettualue;40200;5359;;
paikannimi;42101;1317;;
selite;42102;19711;;
rakennusreunaviiva;42110;46;;
rakennusreunaviiva;42111;1322575;;
rakennusreunaviiva;42112;41567;;
rakennusreunaviiva;42120;29;;
rakennusreunaviiva;42121;86471;;
rakennusreunaviiva;42122;4827;;
rakennusreunaviiva;42130;71;;
rakennusreunaviiva;42131;516862;;
rakennusreunaviiva;42132;154;;
rakennusreunaviiva;42140;318;;
rakennusreunaviiva;42141;36440;;
rakennusreunaviiva;42142;995;;
rakennusreunaviiva;42150;5;;
rakennusreunaviiva;42151;1302;;
rakennusreunaviiva;42152;18;;
rakennusreunaviiva;42160;12088;;
rakennusreunaviiva;42161;3466548;;
rakennusreunaviiva;42162;1102;;
rakennusreunaviiva;42170;826;;
rakennusreunaviiva;42200;77659;;
paikannimi;42201;52;;
selite;42202;341;;
rakennus;42210;22;;
rakennus;42211;1334446;;
rakennus;42212;45529;;
rakennus;42220;28;;
rakennus;42221;91251;;
rakennus;42222;6976;;
rakennus;42230;44;;
rakennus;42231;517159;;
rakennus;42232;152;;
rakennus;42240;344;;
rakennus;42241;38377;;
rakennus;42242;1326;;
rakennus;42250;5;;
rakennus;42251;1346;;
rakennus;42252;28;;
rakennus;42260;11962;;
rakennus;42261;3482687;;
rakennus;42262;1205;;
rakennus;42270;846;;
aallonmurtaja;44100;512;;
selite;44202;493;;
aita;44211;25283;;
aita;44213;1479;;
allas;44300;53425;;
rakennusreunaviiva;44300;57258;;
paikannimi;44301;27;;
selite;44302;100;;
selite;44402;7;;
ilmarata;44500;1909;;
ilmaradankannatinpylvas;44591;2272;;
kellotapuli;44600;375;;
lahestymisvalo;44700;1217;;
masto;44800;8167;;
mastonkorkeus;44803;6834;;
muistomerkki;44900;2752;;
paikannimi;44901;46;;
selite;44902;81;;
nakotorni;45000;1142;;
selite;45002;838;;
pistolaituriviiva;45111;23976;;
pistolaituriviiva;45112;708;;
portti;45200;6462;;
savupiippu;45300;1319;;
savupiipunkorkeus;45303;520;;
tervahauta;45400;21287;;
selite;45402;16876;;
tuulivoimala;45500;1270;;
selite;45502;193;;
rakennelma;45700;50106;;
selite;45702;221;;
tulentekopaikka;45710;1795;;
vesitorni;45800;362;;
selite;45802;265;;
paikannimi;48111;156;;
paikannimi;48112;249;;
paikannimi;48120;26855;;
paikannimi;48130;243077;;
paikannimi;48190;29;;
ampumaalue;62100;297;;
selite;62102;99;;
suojaalue;62200;18;;
suojaalueenreunaviiva;62200;19;;
selite;62202;99;;
suojelualueenreunaviiva;72000;44174;;
luonnonsuojelualue;72200;19838;;
luonnonpuisto;72201;20;;
paikannimi;72201;134;;
kansallispuisto;72202;3409;;
selite;72202;16836;;
paikannimi;72303;98;;
selite;72304;2390;;
rauhoitettukohde;72310;163;;
rauhoitettukohde;72320;2007;;
rauhoitettukohde;72330;9285;;
rauhoitettukohde;72340;194;;
paikannimi;72403;48;;
selite;72404;5822;;
suojelualueenreunaviiva;72420;1;;
suojelualueenreunaviiva;72440;7;;
suojametsanreunaviiva;72500;1181;;
selite;72501;101;;
paikannimi;72502;52;;
paikannimi;72601;324;;
selite;72603;981;;
selite;72604;1;;
suojelualueenreunaviiva;72700;1822;;
paikannimi;72701;233;;
retkeilyalue;72800;13;;
paikannimi;72801;23;;
suojelualueenreunaviiva;74330;76;;
aluemerenulkoraja;82100;67;;
selite;82102;53;;
rajavyohykkeentakaraja;82200;725;;
selite;82202;174;;
sisaistenaluevesienulkoraja;82300;190;;
selite;82302;225;;
ulkojasisasaaristonraja;82400;101;;
selite;82402;164;;
valtakunnanrajapyykki;82500;1558;;
paikannimi;82501;3;;
kunnanhallintoraja;84111;31;;
kunnanhallintoraja;84112;120;;
kunnanhallintoraja;84113;928;;
kunnanhallintoraja;84115;154;;
kunnanhallintokeskus;84302;94;;
kunnanhallintokeskus;84303;217;;
selite;85100;4;;
paikannimi;92401;13;;
vesiasteikko;95300;668;;
selite;95302;616;;
osoitepiste;96001;25700;;
osoitepiste;96002;900;;
